"","C","gene"
"PHACTR1","2","PHACTR1"
"GPNMB","2","GPNMB"
"ENSG00000268201","4","ENSG00000268201"
"SLIT3","1","SLIT3"
"HR","1","HR"
"CCN5","1","CCN5"
"MKX","1","MKX"
"LINC01139","1","LINC01139"
"TBX20","2","TBX20"
"SORCS2","4","SORCS2"
"PODXL2","1","PODXL2"
"LRATD1","2","LRATD1"
"SMO","1","SMO"
"FRRS1L","1","FRRS1L"
"MYO1D","4","MYO1D"
"RAB27B","4","RAB27B"
"FOXE1","3","FOXE1"
"ZFP92","2","ZFP92"
"PNMA6A","1","PNMA6A"
"EMX2","4","EMX2"
"SEPTIN4","4","SEPTIN4"
"ENSG00000287008","3","ENSG00000287008"
"NAALADL1","1","NAALADL1"
"DRP2","2","DRP2"
"ADIRF","1","ADIRF"
"PAG1","2","PAG1"
"CH25H","1","CH25H"
"ADH1B","2","ADH1B"
"ANKRD30B","2","ANKRD30B"
"CDK18","1","CDK18"
"ACAN","1","ACAN"
"C1orf115","1","C1orf115"
"ENSG00000267632","4","ENSG00000267632"
"TRIM55","1","TRIM55"
"CCNJL","1","CCNJL"
"GPC3","4","GPC3"
"KCNS1","1","KCNS1"
"SHC2","1","SHC2"
"COL4A6","2","COL4A6"
"ZP1","1","ZP1"
"NKAPL","1","NKAPL"
"C3","4","C3"
"PCDHB5","2","PCDHB5"
"CYP27C1","1","CYP27C1"
"DTX4","1","DTX4"
"ADAMTS9","4","ADAMTS9"
"RPL23AP49","1","RPL23AP49"
"C2CD6","2","C2CD6"
"PLA2R1","1","PLA2R1"
"RN7SL3","3","RN7SL3"
"FAXC","2","FAXC"
"LRP3","1","LRP3"
"LRRTM2","2","LRRTM2"
"ZNF571-AS1","1","ZNF571-AS1"
"MXRA5","4","MXRA5"
"EMILIN3","2","EMILIN3"
"RORA","2","RORA"
"PID1","2","PID1"
"KCNT2","2","KCNT2"
"ZNF630","1","ZNF630"
"CD74","1","CD74"
"ENSG00000272578","4","ENSG00000272578"
"SHANK2","3","SHANK2"
"CLDN1","1","CLDN1"
"TMEM150C","1","TMEM150C"
"GJA5","3","GJA5"
"NGEF","3","NGEF"
"LOC105373085","1","LOC105373085"
"RNU7-40P","4","RNU7-40P"
"MARCHF9","1","MARCHF9"
"TSPAN11","4","TSPAN11"
"NOX4","1","NOX4"
"DSCAM","2","DSCAM"
"ITGA2","3","ITGA2"
"DAAM2","1","DAAM2"
"VSNL1","1","VSNL1"
"ENSG00000250159","1","ENSG00000250159"
"KCNK1","1","KCNK1"
"ENSG00000197083","1","ENSG00000197083"
"PLEKHH2","1","PLEKHH2"
"MSTN","2","MSTN"
"KLHL4","3","KLHL4"
"ENSG00000279801","4","ENSG00000279801"
"ARMCX4","2","ARMCX4"
"ENSG00000231205","1","ENSG00000231205"
"ENSG00000279289","4","ENSG00000279289"
"ENSG00000279739","1","ENSG00000279739"
"DPYSL4","4","DPYSL4"
"ENSG00000266573","3","ENSG00000266573"
"ENSG00000230267","2","ENSG00000230267"
"EBF4","1","EBF4"
"EEF1A1P3","4","EEF1A1P3"
"VTN","2","VTN"
"STARD8","2","STARD8"
"LOC101927727","3","LOC101927727"
"RN7SL368P","4","RN7SL368P"
"MYCT1","3","MYCT1"
"DES","1","DES"
"EFNB2","2","EFNB2"
"MAN1C1","1","MAN1C1"
"PPP1R9A","1","PPP1R9A"
"SAMD5","1","SAMD5"
"PKD1L1-AS1","1","PKD1L1-AS1"
"ENSG00000257298","4","ENSG00000257298"
"MAGEB17","1","MAGEB17"
"ARHGDIB","1","ARHGDIB"
"RFTN2","1","RFTN2"
"ENSG00000273017","4","ENSG00000273017"
"KNDC1","2","KNDC1"
"COL24A1","1","COL24A1"
"COL15A1","4","COL15A1"
"RASGRP3","2","RASGRP3"
"TCF21","1","TCF21"
"WSCD1","2","WSCD1"
"ETNK2","4","ETNK2"
"TLR4","1","TLR4"
"PNPLA3","1","PNPLA3"
"ZIC4","2","ZIC4"
"GALNT15","2","GALNT15"
"PABPC4L","1","PABPC4L"
"LINC01391","2","LINC01391"
"MAP6","1","MAP6"
"CELSR3","2","CELSR3"
"CXCL6","4","CXCL6"
"SHISA2","1","SHISA2"
"KCNC3","1","KCNC3"
"TNFSF18","4","TNFSF18"
"SATB1","2","SATB1"
"LOC441666","2","LOC441666"
"PRR15","3","PRR15"
"KCNMB3","1","KCNMB3"
"SHOX2","2","SHOX2"
"SALL2","2","SALL2"
"TMEM154","4","TMEM154"
"CD40","1","CD40"
"DIPK1B","1","DIPK1B"
"ENSG00000248479","3","ENSG00000248479"
"LAMA4","4","LAMA4"
"ABCA9","3","ABCA9"
"JCHAIN","2","JCHAIN"
"MARK1","4","MARK1"
"DHRS3","1","DHRS3"
"CHRDL1","1","CHRDL1"
"PDZD4","1","PDZD4"
"GPRC5B","3","GPRC5B"
"LOC101929719","4","LOC101929719"
"ZNF560","1","ZNF560"
"TINAGL1","4","TINAGL1"
"FAM20A","3","FAM20A"
"ENSG00000279759","4","ENSG00000279759"
"H4C3","4","H4C3"
"ENSG00000286214","4","ENSG00000286214"
"SH3BGRL2","1","SH3BGRL2"
"LYPD6B","2","LYPD6B"
"HECW1","2","HECW1"
"CYP26B1","2","CYP26B1"
"TRIM67","1","TRIM67"
"ATL1","2","ATL1"
"RAB42","2","RAB42"
"MGAT5B","2","MGAT5B"
"EGF","1","EGF"
"PTPN3","4","PTPN3"
"CYP11A1","4","CYP11A1"
"SHROOM2","2","SHROOM2"
"CNNM1","1","CNNM1"
"STMN3","1","STMN3"
"MYL3","1","MYL3"
"HAAO","1","HAAO"
"KCNQ1OT1","4","KCNQ1OT1"
"H1-5","3","H1-5"
"H1-4","3","H1-4"
"ENSG00000246100","1","ENSG00000246100"
"KCNJ2","2","KCNJ2"
"FAM155A","1","FAM155A"
"PRXL2A","1","PRXL2A"
"PTCSC2","3","PTCSC2"
"BCO2","4","BCO2"
"ENSG00000280388","4","ENSG00000280388"
"WBP2NL","1","WBP2NL"
"KBTBD8","3","KBTBD8"
"OLFM1","1","OLFM1"
"NEFM","2","NEFM"
"CDKN1C","4","CDKN1C"
"PAPPA2","3","PAPPA2"
"LINC02384","1","LINC02384"
"PPP1R14C","1","PPP1R14C"
